state,year,quarter,quarterly_users,prev_quarter_users,qoq_growth_rate,cumulative_users,growth_stage
Kerala,2020,2,274565,990472.0,-72.28,35228640,STAGNANT
Ladakh,2020,2,1234,13890.0,-91.12,403296,STAGNANT
Lakshadweep,2020,2,85,560.0,-84.82,23836,STAGNANT
Madhya Pradesh,2020,2,170312,2697286.0,-93.69,86103176,STAGNANT
Maharashtra,2020,2,858658,6677147.0,-87.14,219733904,STAGNANT
Manipur,2020,2,5110,82065.0,-93.77,1571480,STAGNANT
Meghalaya,2020,2,2489,27877.0,-91.07,1000100,STAGNANT
Mizoram,2020,2,1766,14848.0,-88.11,408292,STAGNANT
Nagaland,2020,2,2738,32305.0,-91.52,949392,STAGNANT
Odisha,2020,2,123415,1927219.0,-93.6,55645140,STAGNANT
Puducherry,2020,2,9093,52862.0,-82.8,1946032,STAGNANT
Punjab,2020,2,293955,912905.0,-67.8,31859932,STAGNANT
Rajasthan,2020,2,283321,2776323.0,-89.8,102821016,STAGNANT
Sikkim,2020,2,3701,22619.0,-83.64,898208,STAGNANT
Tamil Nadu,2020,2,352063,2602334.0,-86.47,92092616,STAGNANT
Telangana,2020,2,550940,3226261.0,-82.92,102740204,STAGNANT
Tripura,2020,2,6561,75081.0,-91.26,2546512,STAGNANT
Uttar Pradesh,2020,2,435004,5356063.0,-91.88,170539100,STAGNANT
Uttarakhand,2020,2,56193,456579.0,-87.69,16368692,STAGNANT
West Bengal,2020,2,255405,3213394.0,-92.05,100731376,STAGNANT
Andaman & Nicobar Islands,2020,1,735,6803.0,-88.36,113472,STAGNANT
Andhra Pradesh,2020,1,329329,3307542.0,-89.45,52088240,STAGNANT
Arunachal Pradesh,2020,1,3135,35625.0,-90.46,596264,STAGNANT
Assam,2020,1,32099,576697.0,-93.75,8743752,STAGNANT
Bihar,2020,1,161040,2779954.0,-93.55,37404936,STAGNANT
Chandigarh,2020,1,25309,74599.0,-64.39,1251548,STAGNANT
Chhattisgarh,2020,1,47890,711639.0,-92.86,12065948,STAGNANT
Dadra & Nagar Haveli & Daman & Diu,2020,1,4178,52683.0,-91.45,873984,STAGNANT
Delhi,2020,1,436979,1998766.0,-77.06,31304788,STAGNANT
Goa,2020,1,19244,100364.0,-79.69,1567600,STAGNANT
Gujarat,2020,1,377075,2375291.0,-83.16,41039372,STAGNANT
Haryana,2020,1,308315,1753322.0,-81.38,28075080,STAGNANT
Himachal Pradesh,2020,1,28072,333918.0,-90.98,4424100,STAGNANT
Jammu & Kashmir,2020,1,22380,262773.0,-90.77,2941632,STAGNANT
Jharkhand,2020,1,43622,1062496.0,-95.67,14605572,STAGNANT
Karnataka,2020,1,688203,4413738.0,-83.65,68067920,STAGNANT
Kerala,2020,1,248003,990472.0,-72.28,16313264,STAGNANT
Ladakh,2020,1,1130,13890.0,-91.12,191160,STAGNANT
Lakshadweep,2020,1,81,560.0,-84.82,11088,STAGNANT
Madhya Pradesh,2020,1,160868,2697286.0,-93.69,40605484,STAGNANT
Maharashtra,2020,1,815679,6677147.0,-87.14,104673560,STAGNANT
Manipur,2020,1,4598,82065.0,-93.77,709496,STAGNANT
Meghalaya,2020,1,2309,27877.0,-91.07,455256,STAGNANT
Mizoram,2020,1,1617,14848.0,-88.11,185996,STAGNANT
Nagaland,2020,1,2480,32305.0,-91.52,428572,STAGNANT
Odisha,2020,1,115095,1927219.0,-93.6,26611880,STAGNANT
Puducherry,2020,1,8570,52862.0,-82.8,923632,STAGNANT
Punjab,2020,1,267276,912905.0,-67.8,14958008,STAGNANT
Rajasthan,2020,1,267588,2776323.0,-89.8,48568212,STAGNANT
Sikkim,2020,1,3439,22619.0,-83.64,418524,STAGNANT
Tamil Nadu,2020,1,333073,2602334.0,-86.47,43489472,STAGNANT
Telangana,2020,1,522627,3226261.0,-82.92,49227440,STAGNANT
Tripura,2020,1,6050,75081.0,-91.26,1199848,STAGNANT
Uttar Pradesh,2020,1,410932,5356063.0,-91.88,80545024,STAGNANT
Uttarakhand,2020,1,52810,456579.0,-87.69,7774424,STAGNANT
West Bengal,2020,1,237380,3213394.0,-92.05,47843288,STAGNANT
