state,year,quarter,transaction_type,quarterly_total,quarterly_volume,avg_transaction_value,previous_period_amount,qoq_growth_rate
Nagaland,2020,2,TOTAL,4550698017.39,2070264,2198.12,3579120114.93748,27.15
Lakshadweep,2020,2,TOTAL,67771688.34,28880,2346.67,54009474.29801683,25.48
Manipur,2020,2,TOTAL,12795744851.22,4332272,2953.59,10394361523.507774,23.1
Andhra Pradesh,2020,2,TOTAL,1210334758986.26,579671420,2087.97,1010948857156.2512,19.72
Bihar,2020,2,TOTAL,515226094515.38,213546968,2412.71,437027414108.9844,17.89
Madhya Pradesh,2020,2,TOTAL,591688061156.25,305362292,1937.66,506949125744.7769,16.72
Mizoram,2020,2,TOTAL,1828773733.77,793848,2303.68,1568310317.3985484,16.61
Jharkhand,2020,2,TOTAL,149944807903.69,80566044,1861.14,134444928613.07521,11.53
Tripura,2020,2,TOTAL,7076703534.34,4210080,1680.9,6355115225.554009,11.35
Himachal Pradesh,2020,2,TOTAL,32147619050.18,18782920,1711.53,29677867004.49075,8.32
Andaman & Nicobar Islands,2020,2,TOTAL,678580005.66,251848,2694.4,645905249.1890986,5.06
Uttar Pradesh,2020,2,TOTAL,714976064521.15,403407860,1772.34,689665739842.7947,3.67
West Bengal,2020,2,TOTAL,400397727509.42,230707188,1735.52,386613220763.7527,3.57
Meghalaya,2020,2,TOTAL,4614940617.35,2541580,1815.78,4480539363.631257,3.0
