state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Punjab,2021,4,TOTAL,6638,9912828.0,1493.35,4887.0,35.83
Rajasthan,2021,4,TOTAL,19375,24455262.0,1262.21,16643.0,16.42
Sikkim,2021,4,TOTAL,195,503532.0,2582.22,106.0,83.96
Tamil Nadu,2021,4,TOTAL,33037,42184290.0,1276.88,23107.0,42.97
Telangana,2021,4,TOTAL,34848,38845492.0,1114.71,27080.0,28.69
Tripura,2021,4,TOTAL,702,1022508.0,1456.56,494.0,42.11
Uttar Pradesh,2021,4,TOTAL,44132,59654951.0,1351.74,32799.0,34.55
Uttarakhand,2021,4,TOTAL,5529,7849020.0,1419.61,4111.0,34.49
West Bengal,2021,4,TOTAL,26320,31282871.0,1188.56,24839.0,5.96
Andaman & Nicobar Islands,2021,3,TOTAL,230,305235.0,1327.11,137.0,67.88
Andhra Pradesh,2021,3,TOTAL,23075,19914338.0,863.03,33205.0,-30.51
Arunachal Pradesh,2021,3,TOTAL,212,371051.0,1750.24,204.0,3.92
Assam,2021,3,TOTAL,4495,6010865.0,1337.23,3265.0,37.67
Bihar,2021,3,TOTAL,18030,18234941.0,1011.37,14301.0,26.08
Chandigarh,2021,3,TOTAL,494,469634.0,950.68,378.0,30.69
Chhattisgarh,2021,3,TOTAL,4676,3568837.0,763.22,5055.0,-7.5
Dadra & Nagar Haveli & Daman & Diu,2021,3,TOTAL,360,273596.0,759.99,368.0,-2.17
Delhi,2021,3,TOTAL,16679,15007079.0,899.76,13292.0,25.48
Goa,2021,3,TOTAL,1214,1385986.0,1141.67,1016.0,19.49
Gujarat,2021,3,TOTAL,15348,12341903.0,804.14,14676.0,4.58
Haryana,2021,3,TOTAL,14163,13215898.0,933.13,12516.0,13.16
Himachal Pradesh,2021,3,TOTAL,1759,2444545.0,1389.74,1210.0,45.37
Jammu & Kashmir,2021,3,TOTAL,1452,2139133.0,1473.23,1197.0,21.3
Jharkhand,2021,3,TOTAL,6794,7046048.0,1037.1,5180.0,31.16
Karnataka,2021,3,TOTAL,47468,48078366.0,1012.86,40969.0,15.86
Kerala,2021,3,TOTAL,10926,13255646.0,1213.22,9530.0,14.65
Ladakh,2021,3,TOTAL,192,174052.0,906.52,46.0,317.39
Lakshadweep,2021,3,TOTAL,19,16034.0,843.89,5.0,280.0
Madhya Pradesh,2021,3,TOTAL,11990,7806258.0,651.06,14803.0,-19.0
Maharashtra,2021,3,TOTAL,52268,41313307.0,790.41,70381.0,-25.74
Manipur,2021,3,TOTAL,111,133016.0,1198.34,127.0,-12.6
Meghalaya,2021,3,TOTAL,139,214554.0,1543.55,139.0,0.0
Mizoram,2021,3,TOTAL,81,83641.0,1032.6,187.0,-56.68
Nagaland,2021,3,TOTAL,91,123643.0,1358.71,85.0,7.06
Odisha,2021,3,TOTAL,7967,6008686.0,754.2,7942.0,0.31
Puducherry,2021,3,TOTAL,561,556442.0,991.88,526.0,6.65
Punjab,2021,3,TOTAL,4887,5271559.0,1078.69,4047.0,20.76
Rajasthan,2021,3,TOTAL,16643,12793862.0,768.72,18281.0,-8.96
Sikkim,2021,3,TOTAL,106,140552.0,1325.96,93.0,13.98
Tamil Nadu,2021,3,TOTAL,23107,23402918.0,1012.81,17682.0,30.68
Telangana,2021,3,TOTAL,27080,20925217.0,772.72,28870.0,-6.2
Tripura,2021,3,TOTAL,494,649961.0,1315.71,381.0,29.66
Uttar Pradesh,2021,3,TOTAL,32799,32641118.0,995.19,25952.0,26.38
Uttarakhand,2021,3,TOTAL,4111,4646571.0,1130.28,2742.0,49.93
West Bengal,2021,3,TOTAL,24839,21424337.0,862.53,15200.0,63.41
Andaman & Nicobar Islands,2021,2,TOTAL,137,181504.0,1324.85,225.0,-39.11
Andhra Pradesh,2021,2,TOTAL,33205,22730687.0,684.56,22105.0,50.21
Arunachal Pradesh,2021,2,TOTAL,204,224928.0,1102.59,194.0,5.15
Assam,2021,2,TOTAL,3265,3008122.0,921.32,3167.0,3.09
Bihar,2021,2,TOTAL,14301,13301581.0,930.12,12554.0,13.92
Chandigarh,2021,2,TOTAL,378,310943.0,822.6,338.0,11.83
Chhattisgarh,2021,2,TOTAL,5055,3813417.0,754.39,4712.0,7.28
Dadra & Nagar Haveli & Daman & Diu,2021,2,TOTAL,368,275638.0,749.02,467.0,-21.2
Delhi,2021,2,TOTAL,13292,10840929.0,815.6,12822.0,3.67
Goa,2021,2,TOTAL,1016,1028339.0,1012.14,879.0,15.59
Gujarat,2021,2,TOTAL,14676,10263998.0,699.37,12673.0,15.81
Haryana,2021,2,TOTAL,12516,11272453.0,900.64,11038.0,13.39
Himachal Pradesh,2021,2,TOTAL,1210,1402338.0,1158.96,1064.0,13.72
Jammu & Kashmir,2021,2,TOTAL,1197,1832089.0,1530.57,1105.0,8.33
Jharkhand,2021,2,TOTAL,5180,5084230.0,981.51,4879.0,6.17
Karnataka,2021,2,TOTAL,40969,39501006.0,964.17,37595.0,8.97
Kerala,2021,2,TOTAL,9530,9676588.0,1015.38,5731.0,66.29
Ladakh,2021,2,TOTAL,46,86251.0,1875.02,32.0,43.75
Lakshadweep,2021,2,TOTAL,5,6962.0,1392.4,4.0,25.0
Madhya Pradesh,2021,2,TOTAL,14803,9787391.0,661.18,14427.0,2.61
Maharashtra,2021,2,TOTAL,70381,46763103.0,664.43,55792.0,26.15
