year,quarter,entity_type,entity_name,rank,type,count,amount,state
2021,4,pincode,110086,9,TOTAL,1220,1265728.0,
2021,4,pincode,560091,10,TOTAL,1201,1265605.0,
2022,1,state,Karnataka,1,TOTAL,95640,130733580.0,
2022,1,state,Maharashtra,2,TOTAL,88015,117411928.0,
2022,1,state,Tamil Nadu,3,TOTAL,47621,64969045.0,
2022,1,state,Uttar Pradesh,4,TOTAL,45996,73014969.0,
2022,1,state,West Bengal,5,TOTAL,38779,51160527.0,
2022,1,state,Kerala,6,TOTAL,37110,64172190.0,
2022,1,state,Telangana,7,TOTAL,36325,51942016.0,
2022,1,state,Andhra Pradesh,8,TOTAL,29954,42648157.0,
2022,1,state,Delhi,9,TOTAL,28232,35442069.0,
2022,1,state,Haryana,10,TOTAL,22783,32526943.0,
2022,1,district,Bengaluru Urban,1,TOTAL,57549,71700148.0,
2022,1,district,Pune,2,TOTAL,17790,24312875.0,
2022,1,district,Thane,3,TOTAL,14272,16536659.0,
2022,1,district,Mumbai Suburban,4,TOTAL,10457,11756037.0,
2022,1,district,Chennai,5,TOTAL,9138,9949256.0,
2022,1,district,Hyderabad,6,TOTAL,7434,9813417.0,
2022,1,district,Medchal Malkajgiri,7,TOTAL,7300,10383529.0,
2022,1,district,Rangareddy,8,TOTAL,7261,10851640.0,
2022,1,district,Kolkata,9,TOTAL,6763,7736401.0,
2022,1,district,Gurugram,10,TOTAL,6642,8138262.0,
2022,1,pincode,560068,1,TOTAL,2349,2922542.0,
2022,1,pincode,560076,2,TOTAL,1718,2181826.0,
2022,1,pincode,560043,3,TOTAL,1713,2402868.0,
2022,1,pincode,560058,4,TOTAL,1699,1800069.0,
2022,1,pincode,421302,5,TOTAL,1673,1688051.0,
2022,1,pincode,560078,6,TOTAL,1671,1970551.0,
2022,1,pincode,560091,7,TOTAL,1656,2065687.0,
2022,1,pincode,110059,8,TOTAL,1416,1666849.0,
2022,1,pincode,560079,9,TOTAL,1358,1534187.0,
2022,1,pincode,560064,10,TOTAL,1288,1709573.0,
2022,2,state,Karnataka,1,TOTAL,93385,123228632.0,
2022,2,state,Maharashtra,2,TOTAL,80935,104603934.0,
2022,2,state,Uttar Pradesh,3,TOTAL,55133,77434953.0,
2022,2,state,Tamil Nadu,4,TOTAL,46714,61835120.0,
2022,2,state,Telangana,5,TOTAL,45600,58056956.0,
2022,2,state,Kerala,6,TOTAL,35667,59920203.0,
2022,2,state,West Bengal,7,TOTAL,33542,41737021.0,
