year,quarter,level,region,type,count,amount
2022,1,state,Uttar Pradesh,TOTAL,473953246,883123174117.039
2022,1,state,Madhya Pradesh,TOTAL,472703058,747665139599.6421
2022,1,state,Andhra Pradesh,TOTAL,582603911,1294320646554.8625
2022,1,state,Tripura,TOTAL,2871190,6247329764.349836
2022,1,state,Lakshadweep,TOTAL,16397,54939432.65393007
2022,1,state,Manipur,TOTAL,5313679,14144501078.373814
2022,1,state,Maharashtra,TOTAL,1169506438,1681399273981.1614
2022,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,4802803,6237048367.262389
2022,1,state,Meghalaya,TOTAL,1674750,4662338331.33188
2022,1,state,Andaman & Nicobar Islands,TOTAL,794748,2129030202.0751667
2022,1,state,Haryana,TOTAL,191988609,341304042652.78125
2022,1,state,Rajasthan,TOTAL,564962220,1022050180980.1362
2022,1,state,Ladakh,TOTAL,630015,2025040918.8422096
2022,1,state,Punjab,TOTAL,57758302,118389978105.96233
2022,1,state,Assam,TOTAL,58889886,132280437892.70251
2022,1,state,Jharkhand,TOTAL,110911210,194700207087.16907
2022,1,state,Odisha,TOTAL,263633499,451227311779.7898
2022,1,state,Bihar,TOTAL,284390434,611411695731.1454
2022,1,state,Kerala,TOTAL,95280965,139988942464.69464
2022,1,state,Karnataka,TOTAL,1057855407,1566649488305.8838
2022,1,state,Chandigarh,TOTAL,8600491,15174991549.840002
2022,1,state,Telangana,TOTAL,886453385,1670638169828.999
2022,1,state,Himachal Pradesh,TOTAL,16088180,26518447439.932728
2022,1,state,West Bengal,TOTAL,260505092,551426663209.5653
2022,1,state,Gujarat,TOTAL,210547146,392548092253.5477
2022,1,state,Sikkim,TOTAL,1744302,4367431275.863418
2022,1,state,Nagaland,TOTAL,1925952,5544951708.895753
2022,1,state,Mizoram,TOTAL,604917,1945158963.6112473
2022,1,state,Chhattisgarh,TOTAL,97413292,157847045454.8349
2022,1,state,Jammu & Kashmir,TOTAL,16245311,33147863626.158833
2022,1,state,Goa,TOTAL,12214098,19816445402.846123
2022,1,state,Arunachal Pradesh,TOTAL,2804068,7828091628.0873575
2022,1,state,Delhi,TOTAL,330999861,536964920836.2892
2022,1,state,Uttarakhand,TOTAL,44560772,70978782500.07388
2022,2,state,Puducherry,TOTAL,8643687,13778745255.768896
2022,2,state,Tamil Nadu,TOTAL,354506937,590134727678.3616
2022,2,state,Uttar Pradesh,TOTAL,595298776,1067515182419.9624
2022,2,state,Madhya Pradesh,TOTAL,544899829,867024737328.533
2022,2,state,Andhra Pradesh,TOTAL,671134030,1479853948202.9194
2022,2,state,Tripura,TOTAL,3418664,6878271042.0352955
2022,2,state,Lakshadweep,TOTAL,17569,55929601.98990567
2022,2,state,Manipur,TOTAL,6105632,14922910635.149328
2022,2,state,Maharashtra,TOTAL,1407533113,2006272382175.94
2022,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,5759771,6995159780.810846
2022,2,state,Meghalaya,TOTAL,2044649,5281491421.884784
2022,2,state,Andaman & Nicobar Islands,TOTAL,1071217,2685920350.080267
2022,2,state,Haryana,TOTAL,234699962,395234035249.5022
2022,2,state,Rajasthan,TOTAL,661170150,1152833518600.3425
2022,2,state,Ladakh,TOTAL,1118073,3543318177.9962664
2022,2,state,Punjab,TOTAL,72272823,137345426369.22662
2022,2,state,Assam,TOTAL,76334725,153111042086.78204
2022,2,state,Jharkhand,TOTAL,132925275,225636227828.13763
2022,2,state,Odisha,TOTAL,313451598,510035012340.00885
2022,2,state,Bihar,TOTAL,360145029,754461454966.1152
2022,2,state,Kerala,TOTAL,106365322,154696329549.125
2022,2,state,Karnataka,TOTAL,1277448960,1867146114059.2139
2022,2,state,Chandigarh,TOTAL,10772489,17283500158.371002
2022,2,state,Telangana,TOTAL,1063382557,1951414544517.1062
2022,2,state,Himachal Pradesh,TOTAL,21291371,33709107958.242233
2022,2,state,West Bengal,TOTAL,315742141,648575179584.2422
2022,2,state,Gujarat,TOTAL,252052796,446798000976.83795
2022,2,state,Sikkim,TOTAL,2322081,5611105670.307129
2022,2,state,Nagaland,TOTAL,2031329,5740285349.020275
2022,2,state,Mizoram,TOTAL,643977,2003186567.1089382
2022,2,state,Chhattisgarh,TOTAL,116584048,181181677163.7799
2022,2,state,Jammu & Kashmir,TOTAL,23813747,46254290836.635826
2022,2,state,Goa,TOTAL,14216054,22873037759.520226
2022,2,state,Arunachal Pradesh,TOTAL,3556925,9131665374.225872
2022,2,state,Delhi,TOTAL,410634184,629855650458.2181
2022,2,state,Uttarakhand,TOTAL,58166878,88313371025.334
2022,3,state,Puducherry,TOTAL,7042727,10854317711.140945
2022,3,state,Tamil Nadu,TOTAL,393496175,631879220373.2378
2022,3,state,Uttar Pradesh,TOTAL,703589072,1121370050898.7214
2022,3,state,Madhya Pradesh,TOTAL,731259559,1032908494249.5833
2022,3,state,Andhra Pradesh,TOTAL,642855035,1385077409712.0752
2022,3,state,Tripura,TOTAL,4256579,8648352804.91115
2022,3,state,Lakshadweep,TOTAL,15241,47580009.61750026
2022,3,state,Manipur,TOTAL,6352742,15381430267.299776
2022,3,state,Maharashtra,TOTAL,1486389417,1947579187374.532
2022,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,6465621,7520647359.499438
2022,3,state,Meghalaya,TOTAL,4359165,9603300797.121542
2022,3,state,Andaman & Nicobar Islands,TOTAL,1584379,3310631772.137388
2022,3,state,Haryana,TOTAL,269361810,428054494578.0213
2022,3,state,Rajasthan,TOTAL,767541360,1238489256318.2175
2022,3,state,Ladakh,TOTAL,1190858,3605199350.373912
2022,3,state,Punjab,TOTAL,84177897,149319443006.3546
2022,3,state,Assam,TOTAL,86113811,161489079054.89807
2022,3,state,Jharkhand,TOTAL,146815332,229412884063.95636
2022,3,state,Odisha,TOTAL,386687326,564545557340.5428
2022,3,state,Bihar,TOTAL,437367385,791446486557.8687
2022,3,state,Kerala,TOTAL,119362904,162260419315.42975
2022,3,state,Karnataka,TOTAL,1189761328,1665918232610.94
2022,3,state,Chandigarh,TOTAL,13478173,20559757737.40586
2022,3,state,Telangana,TOTAL,1628165401,2706325865752.0645
2022,3,state,Himachal Pradesh,TOTAL,25164868,37380782688.54074
2022,3,state,West Bengal,TOTAL,356792388,704749898612.1294
2022,3,state,Gujarat,TOTAL,303239732,497437502209.44305
2022,3,state,Sikkim,TOTAL,2396758,5162880543.891459
2022,3,state,Nagaland,TOTAL,1894113,5364400495.050829
2022,3,state,Mizoram,TOTAL,659038,1946265612.067956
2022,3,state,Chhattisgarh,TOTAL,158252587,220161558081.9853
2022,3,state,Jammu & Kashmir,TOTAL,22534394,40963554502.24847
2022,3,state,Goa,TOTAL,13188687,19574265275.70635
2022,3,state,Arunachal Pradesh,TOTAL,3939418,9025110785.048618
2022,3,state,Delhi,TOTAL,475592161,677612647116.1133
2022,3,state,Uttarakhand,TOTAL,63996519,92641259938.36333
2022,4,state,Puducherry,TOTAL,7556127,11142204877.174492
2022,4,state,Tamil Nadu,TOTAL,436316636,675689667591.437
2022,4,state,Uttar Pradesh,TOTAL,836369071,1376378802069.4858
2022,4,state,Madhya Pradesh,TOTAL,898828268,1302999857548.291
2022,4,state,Andhra Pradesh,TOTAL,690017077,1424725083041.687
2022,4,state,Tripura,TOTAL,5198190,10452971818.154081
2022,4,state,Lakshadweep,TOTAL,17147,54813873.614936255
2022,4,state,Manipur,TOTAL,6428670,15625956698.341496
2022,4,state,Maharashtra,TOTAL,1688775272,2210470839617.1724
2022,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,7189585,8059640746.081128
2022,4,state,Meghalaya,TOTAL,3932448,8996541156.34871
2022,4,state,Andaman & Nicobar Islands,TOTAL,1987535,3984674404.428784
2022,4,state,Haryana,TOTAL,296648365,490490659880.10236
2022,4,state,Rajasthan,TOTAL,865574848,1456956699398.6523
2022,4,state,Ladakh,TOTAL,1083372,2894477572.6789374
2022,4,state,Punjab,TOTAL,91835180,168107427177.94028
2022,4,state,Assam,TOTAL,103981267,192653519187.54803
2022,4,state,Jharkhand,TOTAL,175300092,277971737448.5812
2022,4,state,Odisha,TOTAL,445714743,652217064523.9851
2022,4,state,Bihar,TOTAL,517084649,936012149674.8281
2022,4,state,Kerala,TOTAL,132960468,173559808599.71005
2022,4,state,Karnataka,TOTAL,1378910371,1904516622907.6313
2022,4,state,Chandigarh,TOTAL,17904840,27879754566.939415
2022,4,state,Telangana,TOTAL,1819506832,2978252562916.1367
2022,4,state,Himachal Pradesh,TOTAL,28555136,41779343232.37363
2022,4,state,West Bengal,TOTAL,405847597,787775633607.248
2022,4,state,Gujarat,TOTAL,341156018,567918305336.5343
2022,4,state,Sikkim,TOTAL,3058339,6458385389.419817
2022,4,state,Nagaland,TOTAL,2476205,6969966384.314047
2022,4,state,Mizoram,TOTAL,693774,2037911085.2630136
2022,4,state,Chhattisgarh,TOTAL,177960446,252519180810.47455
2022,4,state,Jammu & Kashmir,TOTAL,27316158,44315295915.49408
