year,quarter,entity_type,entity_name,rank,type,count,amount,state
2022,1,pincode,462008,5,TOTAL,119378084,172143368941.8931,
2022,1,pincode,110006,6,TOTAL,112708284,170854549748.09644,
2022,1,pincode,444510,7,TOTAL,69862188,129741278088.80704,
2022,1,pincode,800001,8,TOTAL,68427326,126972470461.14954,
2022,1,pincode,600003,9,TOTAL,62446149,95888452779.63263,
2022,1,pincode,751001,10,TOTAL,58525215,91210203433.81744,
2022,2,state,Maharashtra,1,TOTAL,1407533113,2006272382175.9395,
2022,2,state,Karnataka,2,TOTAL,1277448960,1867146114059.214,
2022,2,state,Telangana,3,TOTAL,1063382557,1951414544517.106,
2022,2,state,Andhra Pradesh,4,TOTAL,671134030,1479853948202.9197,
2022,2,state,Rajasthan,5,TOTAL,661170150,1152833518600.3425,
2022,2,state,Uttar Pradesh,6,TOTAL,595298776,1067515182419.9624,
2022,2,state,Madhya Pradesh,7,TOTAL,544899829,867024737328.533,
2022,2,state,Delhi,8,TOTAL,410634184,629855650458.2181,
2022,2,state,Bihar,9,TOTAL,360145029,754461454966.1152,
2022,2,state,Tamil Nadu,10,TOTAL,354506937,590134727678.3616,
2022,2,district,Bengaluru Urban,1,TOTAL,786978117,1013933810932.2711,
2022,2,district,Pune,2,TOTAL,520321567,620747087392.5974,
2022,2,district,Hyderabad,3,TOTAL,446470234,775908693266.7238,
2022,2,district,Jaipur,4,TOTAL,314511010,497492495896.22046,
2022,2,district,Bhopal,5,TOTAL,185588829,255910395858.58392,
2022,2,district,Rangareddy,6,TOTAL,161888380,267052522620.51453,
2022,2,district,Central Delhi,7,TOTAL,159034619,232911858055.0848,
2022,2,district,Medchal Malkajgiri,8,TOTAL,134114768,221257316347.71973,
2022,2,district,Mumbai Suburban,9,TOTAL,125227570,172590494011.93738,
2022,2,district,Khordha,10,TOTAL,124986765,174299128204.99298,
2022,2,pincode,500001,1,TOTAL,296874552,536659038240.45605,
2022,2,pincode,560001,2,TOTAL,271515853,367011500113.69904,
2022,2,pincode,411004,3,TOTAL,262731186,356436998068.0399,
2022,2,pincode,302016,4,TOTAL,181570316,290408785688.9401,
2022,2,pincode,110006,5,TOTAL,139136098,200269818218.75818,
2022,2,pincode,462008,6,TOTAL,137837715,198147341166.69937,
2022,2,pincode,444510,7,TOTAL,93575752,168031360482.06287,
2022,2,pincode,800001,8,TOTAL,90260337,162195041186.36075,
2022,2,pincode,600003,9,TOTAL,75241472,108938946466.4329,
2022,2,pincode,751001,10,TOTAL,69262961,101369063330.80547,
2022,3,state,Telangana,1,TOTAL,1628165401,2706325865752.0645,
2022,3,state,Maharashtra,2,TOTAL,1486389417,1947579187374.532,
2022,3,state,Karnataka,3,TOTAL,1189761328,1665918232610.9397,
2022,3,state,Rajasthan,4,TOTAL,767541360,1238489256318.2173,
2022,3,state,Madhya Pradesh,5,TOTAL,731259559,1032908494249.5833,
2022,3,state,Uttar Pradesh,6,TOTAL,703589072,1121370050898.7217,
2022,3,state,Andhra Pradesh,7,TOTAL,642855035,1385077409712.0752,
2022,3,state,Delhi,8,TOTAL,475592161,677612647116.1133,
2022,3,state,Bihar,9,TOTAL,437367385,791446486557.8687,
2022,3,state,Tamil Nadu,10,TOTAL,393496175,631879220373.2378,
2022,3,district,Hyderabad,1,TOTAL,1018658174,1586047443981.7903,
2022,3,district,Bengaluru Urban,2,TOTAL,738035161,930886457807.8191,
2022,3,district,Pune,3,TOTAL,505018506,549531791371.8348,
2022,3,district,Jaipur,4,TOTAL,377469909,564818218571.2906,
2022,3,district,Central Delhi,5,TOTAL,243139962,327191972497.86694,
2022,3,district,Mumbai Suburban,6,TOTAL,197724164,247678975470.48975,
2022,3,district,Patna,7,TOTAL,188665398,298860414441.2887,
2022,3,district,Khordha,8,TOTAL,182514532,234713995654.54218,
2022,3,district,Chhindwara,9,TOTAL,169367916,236429180484.7117,
2022,3,district,Rangareddy,10,TOTAL,169029273,272598081405.12262,
2022,3,pincode,500034,1,TOTAL,832279716,1276247184385.9084,
2022,3,pincode,110006,2,TOTAL,222465526,294132832922.7636,
2022,3,pincode,302012,3,TOTAL,220682742,322546632329.7969,
2022,3,pincode,411033,4,TOTAL,217102802,241609848561.36987,
2022,3,pincode,480001,5,TOTAL,164538285,229267141662.06653,
2022,3,pincode,560027,6,TOTAL,160449902,217879670192.8064,
2022,3,pincode,800001,7,TOTAL,143978604,226644911906.22284,
2022,3,pincode,400070,8,TOTAL,137051260,170363147506.6858,
2022,3,pincode,751001,9,TOTAL,123281915,161654599037.78528,
2022,3,pincode,700039,10,TOTAL,82900479,153815755896.1881,
2022,4,state,Telangana,1,TOTAL,1819506832,2978252562916.1367,
2022,4,state,Maharashtra,2,TOTAL,1688775272,2210470839617.1724,
2022,4,state,Karnataka,3,TOTAL,1378910371,1904516622907.6313,
2022,4,state,Madhya Pradesh,4,TOTAL,898828268,1302999857548.291,
2022,4,state,Rajasthan,5,TOTAL,865574848,1456956699398.6523,
2022,4,state,Uttar Pradesh,6,TOTAL,836369071,1376378802069.4856,
2022,4,state,Andhra Pradesh,7,TOTAL,690017077,1424725083041.6873,
2022,4,state,Bihar,8,TOTAL,517084649,936012149674.8281,
2022,4,state,Delhi,9,TOTAL,515203457,744915016018.5759,
2022,4,state,Odisha,10,TOTAL,445714743,652217064523.9851,
2022,4,district,Hyderabad,1,TOTAL,1133829812,1753799022390.8733,
2022,4,district,Bengaluru Urban,2,TOTAL,876647100,1092079302011.8888,
2022,4,district,Pune,3,TOTAL,544687754,590334491443.0927,
2022,4,district,Jaipur,4,TOTAL,404922774,635458549842.8215,
2022,4,district,Central Delhi,5,TOTAL,280960656,386107883617.5307,
2022,4,district,Mumbai Suburban,6,TOTAL,248827345,310278216439.5166,
2022,4,district,Chhindwara,7,TOTAL,245710341,350638062974.85736,
2022,4,district,Patna,8,TOTAL,217434851,352393762150.454,
2022,4,district,Khordha,9,TOTAL,208260666,268479766618.40594,
2022,4,district,Rangareddy,10,TOTAL,191136402,295773661437.69385,
2022,4,pincode,500034,1,TOTAL,967508435,1501499856273.482,
2022,4,pincode,560027,2,TOTAL,290033166,383980424744.5664,
