year,quarter,level,region,type,count,amount
2023,1,state,Haryana,TOTAL,37287,61127194.0
2023,1,state,Rajasthan,TOTAL,34415,61441050.0
2023,1,state,Ladakh,TOTAL,161,495736.0
2023,1,state,Punjab,TOTAL,10816,23330966.0
2023,1,state,Assam,TOTAL,22100,36963888.0
2023,1,state,Jharkhand,TOTAL,16108,23823406.0
2023,1,state,Odisha,TOTAL,18899,29360555.0
2023,1,state,Bihar,TOTAL,26929,38746711.0
2023,1,state,Kerala,TOTAL,62377,101786828.0
2023,1,state,Karnataka,TOTAL,127376,186543426.0
2023,1,state,Chandigarh,TOTAL,1520,2415574.0
2023,1,state,Telangana,TOTAL,54508,82678207.0
2023,1,state,Himachal Pradesh,TOTAL,3909,7826133.0
2023,1,state,West Bengal,TOTAL,56833,77461732.0
2023,1,state,Gujarat,TOTAL,32600,46937694.0
2023,1,state,Sikkim,TOTAL,260,688605.0
2023,1,state,Nagaland,TOTAL,320,704957.0
2023,1,state,Mizoram,TOTAL,171,326688.0
2023,1,state,Chhattisgarh,TOTAL,10460,16577191.0
2023,1,state,Jammu & Kashmir,TOTAL,4555,10275877.0
2023,1,state,Goa,TOTAL,4097,5859549.0
2023,1,state,Arunachal Pradesh,TOTAL,606,1747475.0
2023,1,state,Delhi,TOTAL,45821,61040038.0
2023,1,state,Uttarakhand,TOTAL,7552,13599026.0
2023,2,state,Puducherry,TOTAL,1809,2614006.0
2023,2,state,Tamil Nadu,TOTAL,79698,105328191.0
2023,2,state,Uttar Pradesh,TOTAL,74194,122522457.0
2023,2,state,Madhya Pradesh,TOTAL,27027,44871764.0
2023,2,state,Andhra Pradesh,TOTAL,36376,52067478.0
2023,2,state,Tripura,TOTAL,1563,2163813.0
2023,2,state,Lakshadweep,TOTAL,15,38384.0
2023,2,state,Manipur,TOTAL,123,341671.0
2023,2,state,Maharashtra,TOTAL,102754,157303399.0
2023,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,694,1058753.0
2023,2,state,Meghalaya,TOTAL,730,1551577.0
2023,2,state,Andaman & Nicobar Islands,TOTAL,768,1233395.0
2023,2,state,Haryana,TOTAL,40710,62186066.0
2023,2,state,Rajasthan,TOTAL,37170,61301449.0
2023,2,state,Ladakh,TOTAL,215,635831.0
2023,2,state,Punjab,TOTAL,13187,24998175.0
2023,2,state,Assam,TOTAL,16475,28368139.0
2023,2,state,Jharkhand,TOTAL,16662,23216215.0
2023,2,state,Odisha,TOTAL,22163,31307110.0
2023,2,state,Bihar,TOTAL,29212,40354886.0
2023,2,state,Kerala,TOTAL,61032,100620604.0
2023,2,state,Karnataka,TOTAL,117232,175704013.0
2023,2,state,Chandigarh,TOTAL,1704,2501107.0
2023,2,state,Telangana,TOTAL,55118,79238968.0
2023,2,state,Himachal Pradesh,TOTAL,4197,8499425.0
2023,2,state,West Bengal,TOTAL,49792,65204280.0
2023,2,state,Gujarat,TOTAL,32484,46254095.0
2023,2,state,Sikkim,TOTAL,270,628191.0
2023,2,state,Nagaland,TOTAL,269,628890.0
2023,2,state,Mizoram,TOTAL,119,232928.0
2023,2,state,Chhattisgarh,TOTAL,10514,16389610.0
2023,2,state,Jammu & Kashmir,TOTAL,5262,10974839.0
2023,2,state,Goa,TOTAL,4166,5930801.0
2023,2,state,Arunachal Pradesh,TOTAL,696,2095988.0
2023,2,state,Delhi,TOTAL,41358,54951108.0
2023,2,state,Uttarakhand,TOTAL,8051,14034915.0
2023,3,state,Puducherry,TOTAL,2232,2891647.0
2023,3,state,Tamil Nadu,TOTAL,91069,114625593.0
2023,3,state,Uttar Pradesh,TOTAL,78940,121483170.0
2023,3,state,Madhya Pradesh,TOTAL,29300,46963348.0
2023,3,state,Andhra Pradesh,TOTAL,43150,57802396.0
2023,3,state,Tripura,TOTAL,2071,2899393.0
2023,3,state,Lakshadweep,TOTAL,12,12407.0
2023,3,state,Manipur,TOTAL,76,193021.0
2023,3,state,Maharashtra,TOTAL,104872,151171882.0
2023,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,969,1333103.0
2023,3,state,Meghalaya,TOTAL,809,1728076.0
2023,3,state,Andaman & Nicobar Islands,TOTAL,795,1251145.0
2023,3,state,Haryana,TOTAL,42815,61782311.0
2023,3,state,Rajasthan,TOTAL,39960,64328784.0
2023,3,state,Ladakh,TOTAL,232,649027.0
2023,3,state,Punjab,TOTAL,14048,24461488.0
2023,3,state,Assam,TOTAL,22593,35618158.0
